latitude,longitude,timestamp,magnitude
61.3091,-152.4285,7/28/2016 4:39,1.7
61.2911,-152.4551,7/28/2016 4:41,1.1
51.6467,179.9092,7/28/2016 4:42,1.8
61.2991,-152.4507,7/28/2016 4:45,2.1
62.5478,-151.1535,7/28/2016 4:51,1.5
38.6667,-119.3803,7/28/2016 4:55,1
38.6894,-119.8113,7/28/2016 4:59,0.9
35.9258333,-117.9498333,7/28/2016 5:05,0.52
61.7265,-148.1789,7/28/2016 5:07,1.9
59.0436,-152.5599,7/28/2016 5:19,1.6
63.9852,-148.8097,7/28/2016 5:21,1.1
41.8432,-119.6405,7/28/2016 5:23,1
39.1285,-110.8571667,7/28/2016 5:25,0.74
37.4613333,-118.8668333,7/28/2016 5:33,0.61
59.9198,-152.8465,7/28/2016 5:35,1.6
41.8476,-119.6516,7/28/2016 5:43,1.1
44.5753333,-110.7636667,7/28/2016 5:45,1.33
41.8519,-119.6461,7/28/2016 5:45,0.9
63.2775,-151.1246,7/28/2016 5:46,0.6
37.5115,-118.8035,7/28/2016 5:48,0.84
39.1273333,-110.8553333,7/28/2016 5:50,1.8
19.7007,-64.3908,7/28/2016 5:51,2.9
63.2834,-151.1174,7/28/2016 5:52,0.9
50.6235,175.9801,7/28/2016 6:01,2.9
41.851,-119.6477,7/28/2016 6:12,1.2
52.0942,-170.6218,7/28/2016 6:16,2.6
34.5281667,-119.1096667,7/28/2016 6:21,1.23
37.4853333,-118.7741667,7/28/2016 6:35,1.02
63.4764,-148.9546,7/28/2016 6:39,0.6
53.4178,-167.2798,7/28/2016 6:39,1.1
34.0271667,-117.2266667,7/28/2016 6:50,0.83
33.6875,-116.7903333,7/28/2016 6:58,0.92
38.7765,-122.723,7/28/2016 7:00,1.38
52.6934,-166.6619,7/28/2016 7:05,1.9
68.7606,-142.5006,7/28/2016 7:12,1.1
60.1849,-152.5171,7/28/2016 7:16,1.2
41.9676,-120.1726,7/28/2016 7:18,1
19.4283333,-155.6106667,7/28/2016 7:19,1.47
61.0262,-146.7663,7/28/2016 7:20,2.1
47.0706667,-121.8106667,7/28/2016 7:23,0.5
38.7943344,-122.7718353,7/28/2016 7:24,0.88
